tier,days_running_real,is_active_real,page_name_real,creative_type,full_ad_copy,headline,cta,link_description,landing_page,start_date_real,end_date_real,publisher_real,num_variations,page_likes,preview_image_url,ad_library_url
TIER_2_PROVEN,181,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-08-30 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/481809819_927420086136600_678592851086967352_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=UZQwVUTeJuoQ7kNvwEWT0rJ&_nc_oc=AdpGDzHG9v2PrNZD6MDAMOywKJeiVfT4Ti6STAGlRL_wOFuU9ltLT-swZpkaqeQgnco&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=jl_jcw0uoLLpzdhYPpioEw&_nc_ss=7a389&oh=00_Af1ewddSsASEixP7QvMJyt8skIcU8ygZO3UW1-tkG900pA&oe=69E89203,https://www.facebook.com/ads/library/?id=2113456949102486
TIER_2_PROVEN,181,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-08-30 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fbau3-1.fna.fbcdn.net/v/t39.35426-6/481203462_1137822961148355_8263352797210824664_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Hxu6kNkiySsQ7kNvwFIs6Hd&_nc_oc=AdpazITTE6GXPs3BMHSUVEQU6sEp8ARJysDJO3gu41ALlY-BDUx4BeZ6fQ5DVTqqJ3E&_nc_zt=14&_nc_ht=scontent.fbau3-1.fna&_nc_gid=KXN3uf4Ubjclme74ri3S5g&_nc_ss=7a389&oh=00_Af2ozqEUiAjn6p-6qEcRMP0DCTWaUhmo53WUmQ5l--rOdQ&oe=69E891B1,https://www.facebook.com/ads/library/?id=9724468994250244
TIER_2_PROVEN,181,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-08-30 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fmex11-3.fna.fbcdn.net/v/t39.35426-6/481448742_28707233638921420_7051655730736172173_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ftDfJgyEkpsQ7kNvwG-duUN&_nc_oc=Ado94fonCapo7MjXR7cQw8SxlSSzIQYx9DJjoZw0S3S0grKgdPjOpcMzy1-rJHQXmK0&_nc_zt=14&_nc_ht=scontent.fmex11-3.fna&_nc_gid=hs7B-tgS58y1wSLEkRewMQ&_nc_ss=7a389&oh=00_Af14lpo8ul1bvPNCViZR5LlAm5OxV0lbd2QdNenWqRzkTw&oe=69E868D5,https://www.facebook.com/ads/library/?id=2015120942317904
TIER_2_PROVEN,161,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-08-10 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fbau3-1.fna.fbcdn.net/v/t39.35426-6/481044765_513012151483730_5203581656988149850_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=bqZd6Jst5iEQ7kNvwFYnp_A&_nc_oc=AdpFgNUtG4VNOSaB43shO0JRFhLTyqcDn0Oj-MTe6XUrEbGLNGipglap224g5WPXe90&_nc_zt=14&_nc_ht=scontent.fbau3-1.fna&_nc_gid=BufKTj1u7w4G1x_vdD1DOQ&_nc_ss=7a389&oh=00_Af3WgSZ6yOyT0JphkG89-u7RGV-lCtC8Jq-uiWVYNwYDIw&oe=69E883F4,https://www.facebook.com/ads/library/?id=639838998989116
TIER_2_PROVEN,161,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-08-10 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fmex11-3.fna.fbcdn.net/v/t39.35426-6/482303263_1051879760097972_8383296710515216582_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=UNTHioexvG0Q7kNvwGm1QFj&_nc_oc=Adqmja47YwuvgybgI8X_3xZuzJObsPNrGN1_M7JOjAUqSRmxBINM3yDysva7K9bDDhM&_nc_zt=14&_nc_ht=scontent.fmex11-3.fna&_nc_gid=hs7B-tgS58y1wSLEkRewMQ&_nc_ss=7a389&oh=00_Af14TghLo0Ak-oxryVMerrOdBxmUxTi2Cf8xTOkqzh__mA&oe=69E8644E,https://www.facebook.com/ads/library/?id=1757858854770486
TIER_2_PROVEN,161,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-08-10 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/481107441_644132871646777_2346716349208526238_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=HGIyyi6lI9sQ7kNvwHqthO3&_nc_oc=Adoauou_81sjYkYXXy8MbPKPWWxpI9dlUvBkbNkE64ddtFn1e4DIaFP_0aaQ6vwf7cI&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=teKESbJA8BIxnkI0irKhJg&_nc_ss=7a389&oh=00_Af3ppVt5pWjAZSWgFK3sx6Hfs9IGv1JBr-SQjJGFJxICwQ&oe=69E89470,https://www.facebook.com/ads/library/?id=4316575195149486
TIER_2_PROVEN,160,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-08 08:00:00,2025-08-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/481900098_3904602163120809_4178745003400768083_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=O_Ga5CmEt9gQ7kNvwH-HRKk&_nc_oc=AdrgYJm2AdG95VPJPRV29zgGKBiEaXFDTWsq3w00q_7Fw4tJjKX4qEeyKIW6kq5MBS4&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=z4zICpckQtpdTNkavJ6ehw&_nc_ss=7a389&oh=00_Af3xtzHrGP9KE7p8PRAeGxraJ0RZ5RgfT6BajfXMhH1lhQ&oe=69E874B3,https://www.facebook.com/ads/library/?id=1068183521713838
TIER_2_PROVEN,160,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-08 08:00:00,2025-08-16 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fmex11-1.fna.fbcdn.net/v/t39.35426-6/481911393_1637025430539143_4269091733546127274_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=H0LcVmIedU0Q7kNvwEfy-Ch&_nc_oc=AdqgGOf7pJA0DJ9mGNG3m0htBlct74I3Gphv6dHyv9s25b6-f3TaEovotMtx0JSDpig&_nc_zt=14&_nc_ht=scontent.fmex11-1.fna&_nc_gid=hs7B-tgS58y1wSLEkRewMQ&_nc_ss=7a389&oh=00_Af3X8SNFkAzh3Ju653KjRIMcI0_Lkmv1FeHxQ4ltzdo7EQ&oe=69E874E1,https://www.facebook.com/ads/library/?id=656429897070712
TIER_2_PROVEN,119,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-06-29 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fbau3-2.fna.fbcdn.net/v/t39.35426-6/482026985_1376387636866116_7461730116580592748_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=eUR4hoM3g84Q7kNvwFrJs4p&_nc_oc=AdodRfgmgZ-nKxmTlbfjbykjmYFgTw0LocIo7iPVtdqFF3KhUId_2Jw-1_yg8TJqIoI&_nc_zt=14&_nc_ht=scontent.fbau3-2.fna&_nc_gid=t6EDzamggzj3OE6zuXiDHA&_nc_ss=7a389&oh=00_Af2nDUKowbkG9qXiZsZkhH5EssJmxW73cB0O-pZujy-iEA&oe=69E89412,https://www.facebook.com/ads/library/?id=3542312552740024
TIER_2_PROVEN,119,False,Coursiv: No-Code AI,video,Kick-start your AI No-Code journey with Coursiv 🚀,Start Now,LEARN_MORE,,https://coursiv.io/v4,2025-03-01 08:00:00,2025-06-29 07:00:00,"[""FACEBOOK"", ""INSTAGRAM"", ""AUDIENCE_NETWORK"", ""MESSENGER""]",1,26638.0,https://scontent.fbau3-1.fna.fbcdn.net/v/t39.35426-6/481211726_1700871127496515_8643418018441854786_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=NV86Fqeu5BAQ7kNvwGNUun8&_nc_oc=AdrcHPR5fcT40Gt0y64bIcXSXuvXZhoLNJvQfKxlxOwqESjiGoMRYRPqfhPjK1Qw6fg&_nc_zt=14&_nc_ht=scontent.fbau3-1.fna&_nc_gid=qp1LpTyz54NkYL7LRaaoWA&_nc_ss=7a389&oh=00_Af1Vqv1ux23cz_bgEeNHpaCSllnqswPy5jFhx059RoH8Eg&oe=69E884D2,https://www.facebook.com/ads/library/?id=1170763297796068
